key;languageCode;value;isTemplate;group
yes;en;Yes;false;
no;en;No;false;
ok;en;Ok;false;
cancel;en;Cancel;false;
login;en;Login;false;login
login-hint;en;Enter credentials to access;false;login
username;en;Username;false;login
password;en;Password;false;login
login-failed;en;Invalid credentials;false;login
not-valid-input-field;en;The field ${name} is not valid:;true;
new;en;New;false;
delete;en;Delete;false;
archive;en;Archive;false;
refresh;en;Refresh;false;
search;en;Search;false;
key;en;Key;false;
language-code;en;Language Code;false;
translation;en;Translation;false;
group;en;Group;false;
template;en;Template;false;
translations;en;Translations;false;
menu-admin;en;Settings;false;
menu-admin-translations;en;Translations;false;
menu-admin-navigation;en;Navigation;false;
save;en;Save;false;
info;en;Information;false;
